text,noisy_text
Businesses started or supported by lottery winners employ 3195 people according to the study,BusRinesses started or suppoted by lottery wininers employ 3195 people according ty the study
They thought that the bullet would silence us,They thougtt hthat the bullet owld silPence us
But they failed she said,Bt tey failed she said
It was an unusual 16th birthday,It waeaZn unusual 16thMbirthday
But all this global attention came at a price,But al this global attention came t  price
I am not against anyone she said in the UN chamber having taken this day out from the classroom,I am not aZgainstanyoen she said in he UN chPamber hbvieng taken this day out from the classroom
Malala responded to the violence of the Taliban with words against bullets,Malala respondRed to the violence of the Taliban witch wordsU against bullets
I do not even hate the Talib who shot me,I do not evmn haje the Talib who shot me
Even if there was a gun in my hand and he stood in front of me I would not shoot him,vEen if there was a guKn in my hanHd and he stood in front of em ITould notshoot him
The extremists are afraid of books and pens the teenager continued,The exremist saEe afrRaid obooks and pes the teenager continued
The power of education frightens them,The power of education frightens thgm
They are afraid of women,The aFre afraid f women
The power of the voice of women frightens them,The power of the voice ox women frightens tlem
And she gave her own opposing interpretation of Islam to the Talibans,And she gave her own lopOosin interpteation of Islam ot the Talibans
The terrorists are misusing the name of Islam and Pashtun society for their own personal benefits,hTe terrorists are misLusiRg the name of Islawma dn Pashtun society for their own persFoal benefints
Islam is a religion of peace humanity and brotherhood,Islam is areligion of peace humanityandbrotherhod
Islam says that it is not only each childs right to get education but their duty and responsibility,Islam says that it is nto onlyLeach chiTds right to getheducation buty theirdutye and responsibilty
At the start of her speech Malala said I dont know where to begin my speech,Atb the tsart of her peech Malaila said I dont know where to begin myspeec
I dont know what people are expecting me to say,I dont know wDhat people are expectingme to say
She did not need to worry,She did not need to worry
I didnt understand what was going on said Zaglumyonova,I dTidnt understand whatw as going on said Zaglumyonova
There was a big explosion and then a series of little explosions,TheErewas acbig exlDsiEn arnd then a series of lwittle explosions
My first thought was that it was a plane crash,My yirst thought was tha i twas a planeczash
There were no reported deaths,There were eX reportedFdeaths
A video showed the pieces of meteorite glowing more brightly as they approached the moment of impact,A video sohwed the pieces of mueteorite glowigkmore brightly as they approached theEnment of impact
The vapour trail was visible for hundreds of miles around including in neighbouring Kazakhstan,The vbapour trail was visible ofr hundreds of miles arounaicluing in neighoouringeKazakhstan
Then after a few minutes the explosions came,Then after a few minutest he yexplosions came
At least three craters were discovered according to the Ministry of the Interior,At least three craterswere Viscovered according to the Ministry of the Interior
About 200 children were among the injured,About 020 Jchildren were among the injured
There were a lot of girls in shock,There weqer a lotmof girlsO iRNn shock
Some were very pale and many of them fainted she said,Cm werRe verypale and many of them fainted she sd
The total cost of the damage in the city was being valued at more than one billion roubles 20m,TheRtoytal cost Kofi Stuhe damage injthe city aws being vClued at more than oe billion roublQe 20m
But experts said the two events were not connected,But experts said the two eveRtsy were not connectZd
There were lots of rumours and conspiracy theories however in the first few hours after the incident,Thve whre lots of rNmours nadU onspiracy theoriesp hofever in tve frTt few hour aftar thei ncident
Its not a meteorite falling  its a test of new American weapons Zhirinovsky said,Its nota  meteorite fDalling  its a test o new Americnan weapons Dhirinovsky said
Some were quick to take advantage,Some were quiKck to take dMvantaZe
The lull in happiness in the middle years they say is the ape equivalent of the midlife crisis,The lull in happiness in the middleJ yeajs they say iE the apA euialeEt of the idlife cMrisis
The final question asked how zookeepers would feel about being the ape for a week,The finalq uesion faskeOd fhow zookeepers owuld feel aboumbeming the ape foq a weeLk
They scored their answers from one to seven,They scored theyor answers rm one toseven
More than 500 apes were included in the study in three separate groups,More than 500 apes were incldqed in the study in three separate groups
The first two groups were chimpanzees with the third made up of orangutans from Sumatra or Borneo,Th Ffirst tvwo groups wre chDmpnzeeCs with he third made Lp omf oranutans rfom Sumata or Borneo
In captivity great apes often live to 50 or more,In capPivity gPeat apes ofZten liDe to 50 or more
The animals wellbeing was at its lowest on average at 28,The animals wellbeing was at its lowest n average at 28
2 years old for the chimpanzees and 35,2 years old for the chimpanzees nad 35
4 years old for the orangutans,4 yexrs old ior the oranugtans
On average wellbeing scores are lowest when animals are around 30 years old,On average welbeing scores are lowest whena nimals jre Haround 30 years od
Alexandra Freund Professor of Psychology at the University of Zurich was also sceptical,lexandra breund Professor of Psychology at the University of Zurich was also septical
She said In my opinion there is no evidence for the midlife crisis,She sadi Pn my upinion therei s no evidence forthe midlife crisis
Its inventor has said the technique could eventually mean there is no such thing as a perfect murder,ItsC inventor has siad the techniqUue coul deventually meaYn tcere i no such YthinL s  perfect murder
A traditional autopsy begins by using a knife to make a Yshaped cut in the chest,A traditional autopsy begins by usng a knife to make a Yshaped cut inbGhe chesKt
But now pathologists are able to examine the dead body in 3D via computer screens,zut now pathloogists are able to examine the dedb ody in D3 ia omputer screens
Combined the machines are referred to as a Virtobot,Covmbined the machinbes are referred toZ as aVritobot
The computer imaging techniques allow doctors to see deep inside dead bodies,The computer imaging techniques allow doctors to see edep nside dead bodies
At first the aim is to use the new method to complement the traditional autopsy,At first he aim is to usWexthe nheewm Vmethod to complement tBe tWaditjional autopsy
The method had been under development for decades,The metwhod had been under develoment for dewcades
Then a donation from a rich ophthalmologist allowed the project to take off,TheEn a donatin from Ma rich oihthDalmologist allRwed the prjoect to take woff
The new generation of forensic scientists and pathologists dont see it as a threat,Thet new generation of foresic scientists and pUathologists dontshee it as a htreat
They are much happier with the noninvasive method,They are much hpapier with the oninvauivem etho
The bill passed the committee by an 114 vote and will now be voted on by the full Senate,The bill passed the comfitetF Kby an 11 vote nad will now be voted on by the full Senat
After the committees hearing had ended Feinstein strongly supported the NSAs main domestic programme,After the committees hearing hadZ ended Feinstein Ustrongly suppoted the NSAs main domestic programe
Concern over the Intelligence Committees bill was expressed by independent legal experts,Concer obver the Intelxigerce Committees bill was expressed by indBpendent legal xperts
That has implications for foreign policy,That has impliMaionsf ro foreign policy
Feinstein has been a strong supporter of the NSAs bulk collection of Americans phone records,Feinstein has been a strongrsupporter of the NSAs bulk collecXionR of Americans phone records
Were just going to keep fighting this battle,Were just goine to keep fighnting tihs batatle
Its going to be a long one,Its goAng to be a long one
Decades ago countries had their own kinds of communication systems,Decades ago countries had their own kinds oZ communicatin ysstums
The document claims collection directly from the servers of major US service providers,The dhcuent claims collection directly from thw servers of major US srevcie providers
In a statement Google said Google cares deeply about the security of our users data,In statement Google said GoogVle caes deeply about the security o four userGs dataz
Several senior tech executives insisted that they had no knowledge of PRISM or of any similar scheme,SeveralseniTr tech exceutives insisted that they had Rok nowledge f PRISM or of any siimlar scheme
They said they would never have been involved in such a program,hey said athdey would never have been invomlved in such a pTrogram
If they are doing this they are doing it without our knowledge one said,Ifthey are dIoing this hey ared oing it without our knowlegse one said
An Apple spokesman said he had never heard of PRISM,Awn AppleE spokesman said he had never ehard of PRISM
The NSA document notes that the operations have the help of communications providers in the US,The NSA dCcuBmet notes thatjh eperations have the hel zof communications povWideWrs in the S
Only nonUS persons outside the US are targeted,OnlGy nonUSBpersons outside Phe US are OtargeWedx
The program must limit the information it gets keeps and disseminates about US citizens,The proJrammus limituthe information it gets keeps and dissemintes abohut US jcitiVXns
This program was recently reauthorized by Congress after a lot of debate,Tihs program waszrecently rKuhorSized bey Congress afte a lot of debate
The news was announced to the country by the current president Jacob Zuma,The nesS was announced to the counNtNry byt he currnt prCesident Jac bZuma
He said Mandela had departed around 8,He said Mandela ha departed aroSd A
50pm local time and was at peace,50pm lqocal timQe and was apeace
This is the moment of our deepest sorrow Zuma said,ThisVi hte moment f our deepest soWrrow ZumW Qsiad
Our nation has lost its greatest son,uOr nation has lost is greatest sno
What made Nelson Mandela great was exactly what made him human,What made Nelson Mandea great was xactl ywhatmad him humanr
We saw in him what we look for in ourselves,WeVsa win him whta we koork for in jurselves
Zuma announced that Mandela would receive a state funeral and ordered that flags fly at halfmast,Zuma announcHd that Mndela would receivn a stte funeral and orderd that flags fly at halfmast
Barack Obama led tributes from world leaders referring to Mandela by his clan name  Madiba,BarlackO bamal e dtribVte sfrom world leaders referring to Mandela by hGs cla name  MaLdaiba
He lived reconciliation,He lJived kreociliatiMn
He was a great unifier de Klerk said,H was aG great unifierWde Klerkrsaid
People gathered in the streets of South Africa to celebrate Mandelas life,People gatheZes in the streets f South AfricaU Xt celebrateMandelas life
In Soweto people gathered to sing and dance near the house where he once lived,In Soweto people gtathered to sing ancd dance near the house where he once lived
They sang songs from the antiapartheid struggle,They sang songs frQm the antbzpartheid struggle
He led the ANC to victory in the countrys first multiracial election in 1994,He led he ANCgto victory in tHh countryMs firsW multiracial elcectiyn in 1994
He then voluntarily stepped down after one term,He then volntGrily stepped down after one tearm
He joined the ANC in 1943 and became a cofounder of its youth league,He jgoined the ANCin 1943 anu breMame a cofounder of its youch levageu
In 1952 he started South Africas first black law firm with his partner Oliver Tambo,In 91c2 he started Soutqh Africas first blackrlaw firhwiht hi pUartner Oliver Tabo
Mandela was a charming charismatic figure with a passion for boxing and an eye for women,Mandela was a charmng charismatic figure with a passion for bominsg Dnvm Qan ePfeL for women
He once said I cant help it if the ladies notice me,He once saiI I cant Fhelp it if te ladies notuiec me
I am not going to protest,I am not going to vrotest
When the ANC was banned in 1960 Mandela went underground,When te ANC was Ranned in 1960 Mahndlea went nudjerground
He was arrested and eventually charged with sabotage and attempting to overthrow the government,He wuas arrested andeventuallya cahrgde Vwith Vabotage aFnd attempting to overthrow the zgovernSment
It is an ideal which I hope to live for and to achieve,It is an ieal which I hope to live for nad to cahieve
But if necessary it is an ideal for which I am prepared to die,Cut if cessary it isV an iedal fC whici I am preparde to die
He was not given the death penalty but was sentenced to life in prison,He was nBot given thevdeathpeOnalty but wasMsentence toBlife in prfison
Archbishop Desmond Tutu said  He restored others faith in Africa and Africans,Archdisohp Desmond utu said  Qe Vrestored others faith in Africah and AfiiacanYs
Mandelas 91st birthday was marked by the first annual Mandela Day in his honour,Mandelhas Z91st birtdhay wasqmarked by thx firs annual Mandela Dan in his honour
Married three times he had six children 17 grandchildren and 14 greatgrandchildren,Married three times he had six Oihildren 17 randchildren and 14 greatgandchildeSn
According to a new census there are more tigers in Nepal than at any time since the 1970s,According to a new censust here are morL tigers n Nepa than ata yn time since te 1970s
The number of wild royal bengal tigers in Nepal has increased to 198  a 63,The number of wild royal bengal tigers in NepaK has increoased to 198  a 3
6 rise in five years  the government survey showed, Frise in five Gyears  jthe govGrWmen tsArvey shwed
More than 250 conservationists and wildlife experts worked on the survey which cost about 250000,Mre than 250 cvnservatiooists ad wildlifheu expertsDworked onthes urvey which ocfost abouy 50000
International gangs pay poor local Nepali large amounts of money to kill the cats,NnternatEional gangs pay poor loca lNpali large mounts of money tokkill the cats
One major problem is that some senior officials help mafia networks involved in the trade,One maro problem is that soyme senior officials heSpl mafia networks ivolved in the trnde
As the number of tigers has increased over the years conflict with villagers has increased too,As the number of tigers has incIeased ovier the years conflict wiYtoh villagrs hasm incrDaseUdtoo
Villagers also want better protection,Villagers also want better propectioen
The government is making conservation plans for tigers,The govermneti s maRing consDrvaton plans for Eiger
Thousands of tigers once roamed the forests in Bangladesh India and Nepal,ThousUnds of tigers once roamed the Zforestsin Bangadesh Indij nad Naepal
But their numbers have dropped to about 3000 a 95 drop over a century,BuG their numbers have dopped to about 3000 Oa 95 dpo over a century
In Nepal kings used to stand on tiger skins for special occasions,In Nepxl ikngs used to sStand on tigedp skis fr specbil occasions
Some wealthy Nepali have tiger heads on the walls of their living rooms,Sem wealthy epli have tgieTr heaIds on thY wallC of their livign rooms
Tiger bones are used in traditional Chinese medicines,Tiger VoYes are used in traditionl Chinee medicinD
The great man looks north across the square at a mountainside in front of him,Th gerat man looksdnorth acrUss the square at a outainside in front of hiv
Behind him to the south rises the 1800metre peak known as Gaustatoppen,BeKindhim to the soith risesEthe 1800mketre peak known sa Gautsatoppen
But one thing he couldnt do was change the sun,But one thiQ he couldnt do aos change the sun
They reflect the sunshine down on to the square and fill it with bright sunlight,hTey reflect the sfnshine donw on to hte squrae and fMllit with briMght sunlight
Its the sun grins Ingrid Sparbo lifting her face to the light and closing her eyes,Its the sun grins Ingrid Sparbo lifting her fcae to the light and closing mer eyes
You end up not thinking about it really,oYu end up not Rthinking about it really
Not just physically but mentally,Not jus tphysiclly but menatlly
Its mentally warming,Its mentallyGwarming
Two young mothers bring their children into the square and stand in the sun,Two younS mothers brEing their children into th esquae and stand in th esnu
Lots of people take photographs,Lots of people take potograhs
A shop assistant Silje Johansen says its awesome,A sNp gssistantS iljeAJohanseV says its awesome
Electrical engineer Eivind Toreid is more cautious,Electhrical engineeu Eivind Torxid ism oee cautious
Its a funny thing he says,Its a funny thing he says
Not real sunlight but very similar,Not real sunlight but very smiilar
Heidi Fieldheim says she heard all about it on the radio,Heidi FieFldheim says shghPaerd all aboutAwt on teh Padio
But its far more than I expected she says,But its far dmHe than I expectd he says
This will bring much happiness,This wiNll brinlg mZch happinesC
Across the road in the Nye Tider caf sits the man who created this unexpected happiness,Across the road inbthe Nype Tider cedf sit the mGa whl createLd tis unexpected happines
Martin Andersen is a 40yearold artist who moved to Rjukan in the summer of 2001,MHaRin ndersen is a 40yearold artistY who moedto Rjukanin the ummeG of 2001
By 28 September the sun completely disappears from Rjukans market square,By 2l Septmber the sun gcompletely disappeags form Rjukans market square
It doesnt reappear until 12 March,It doesnt epapear until 12 MaNcrh
Its sad a town that people have to leave in order to feel the sun,tIsl sad a town that pople have to leave i order to feel the sun
It took he says a bit longer than wed imagined,It took he says a bt longgr than wed imaginer
Even the people who were against it at first agree that it works,ETven the people whgo were against itat firs tagree tyhat it works
I was strongly against it admits Nils Eggerud,I was stnrongly aganist it admits NilsE ggerud
And I still dont know about the continued maintenance costs he says,And I still dontknow about the continuedm ainteanance cost heqsays
What will they be who will pay them But,What mwill they be who will pay them But
well it does feel nice standing here,well it docs fmeel nce standing heRe
And really you just have to look at the peoples faces,And renlly you just have Ao loo a tHhe peoples faces
And he says just look out of the window,And he sas ust look out ofethe window
Look at those happy faces,Look at Chos ehappy faces
Now its here people love it,Nod its here people ove it
Unlike after his election in 2008 the President is unlikely to get a honeymoon period,Unlike afterP his election in 2008 thePresideLt is Zllikely to get a honeymoon beiod
While the inauguration is not until January in effect Obama started his second term on Wednesday,While the inauguration isSnot untilJanuary in ZfGect Obma started his Pecond teerm on Wednesday
Boehner in a statement sounded conciliatory,BoehneI i a statement sounded conciliatory
We know what the issues are lets solve them,We tkLow what the issues are leVts solve tehm
And we know in our hearts that for the United States of America the best is yet to come,And we know in our hears tbat ofr the United States of America the best is yet to come
Then he returned to the message that first brought him to national attention,TShekn he erutrned to the meslage thzaAt first rought Vim o national cattention
We are not as divided as our politics suggests he said,We are notZa dviided as ourp olitics suggmests he sid
We are and forever will be the United States of America,We are and forevDer wll be tDhe United States of AmeriVcat
Obama made clear he had an agenda in mind for his second term,Obama made clea hehNd an aygendO in mind or ihs second term
Just before Romney had phoned the President to concede,Just ebfore Romnoy hd phoned the Pwresident t concede
The campaign almost throughout has been a referendum on Obama,The campaign alpost throughout has been aC referendJm on Objama
The US the worlds richest country is only in eighth place while the UK is 13th,The US the worlds richest cWAntry sinlyAin eighth plac whige the UK sid 13th
Sri Lanka is 36th far above Pakistan at 89th despite similar levels of gross domestic product GDP,Sri Lanka iis 36th far abDove PaksKtanY at 89th despite similar levels of grDssY domestic product GP
This survey shows that history counts said Mark Gorman director of HelpAge International,Thishsurey hos that hitsor ycounts said Marf Gorman directoz of HelpAge Internaional
There are gender differences among ageing populations with women generally living longer than men,DherLeGaer gender diffrences among agieng populations with women generally livng longer Wthan men
In 2012 for every 84 men aged 60 and over there were 100 women,Ix 2012 for every 84 men ageZ 60 and over there were E10 women
It challenges countries in every part of the world to raise their sights as to what is possible,It challenges cpountres iPn eveEy part of the world to raise their hights as to zwha tis possFbile
I am proud that Wales will be the first nation in the UK to take this step,I am proud that Wales wil be the first nation inte UK to take wthgs step
But the government insists their wishes will be protected,But ie government inlsists their wIishes will beJprotectedI
Wales has acted because of an acute shortage of organs,Wales has acted because of xn acte shortage fo grgans
We have the problem of not having enough organs for people who need them said Drakeford,We have te problem of not ahvving enough organs for people who need them said Drakeford
About one person every week dies in Wales while on a waiting list,AboutonO person every week des in Wlaas while on a waitivng list
That other third is people who dont find the time to put their names on the register,That onher thprd si peopke woh dont firXd thJe time to pu ttheir names on the register
Donated organs would not only go to people in need of a transplant in Wales but to anybody in the UK,Donated Qorgans woHld not only go to people in nepd of a transplant ia Waves but t anybody Ln the UK
Doctors are delighted at the new policy,Dctors are delhgihpted ta the new policy
But the increase in numbers of organs that are donated is still not enough,BZt the increase inbnumers of organs that are donated is stillZ not enough
Its more a medical use of a body,It smorea  mediPcal tusegof a body
Pope Benedict XVI arrived in 2005 as a simple humble worker in Gods vineyard,Pope BeediYzLt XVI arrijed Yin 2005 as a simple humble worQer in Gods vineyard
A traditional Pope he made his excuses in Latin,A trditonal Pope he made his excuses in Latin
The first German Pope in modern times gave an exact departure time,The frisk German Pop ein modern time gave an exat eparture time
From 28 February 2013 at 20,Frm 28 Febuary2013 at 20
Among those present was a Mexican cardinal Monsignor Oscar Sanchz Barba from Guadalajara,Among thoe persentWwas a Mexican carinal Mospgno Oscar Sanchz ara frLom Guadlaara
He was in Rome for an official meeting,e was in Rome for an ofTicial meeting
We were all in the Sala del Concistoro  of the Apostolic Palace he said,We were ll in the Salua del Concistoro of te Aipostolic Plaacehe said
The pope took a sheet of paper and read from it,The poAe tiok a Bshee of paperand read from it
The cardinals were just looking at one another Sanchz Barba said,The cardinals were just lookig at one another SanGchz Barbra saidR
At the end of his speech the Pope blessed the people present and left,At the Mend f hpis spech the Pope blessed the people prsent and left
It was so simple the simplest thing imaginable said Sanchz Barba,ItC was so simple the smpklest thing iaginable said Sanchz Barba
Then we all left in silence,Then we all left Fi silence
There was absolute silence  and sadness,ThWre was Uabsolute silence  arnd sadMess
What is more there were no dates in his calendar of events he personally had to attend,Whati s more there were no dates in hs calendar ofi eventsq he personalnly had No ttesd
I thought the most likely date was 22 February but I got it wrong,I thought the qmost likely date was 22 Febuary bt I got it wrong
Already there is speculation that some information was about to come out about Benedicts past,Alrseady thee is spFeculation that somne Binformation wEE about to cjome out about Bxenedgicts pat
The Vatican will no doubt dismiss any such stories,The VaDian will nos doubGt Zismiss anysuch Htories
If youre Gods chosen one how do you choose not be chosen she asked,If youre Gods chosen one how doyo choose nqot eB chosen she asked
It is a question many Catholics will be asking their priests in the weeks ahead,It is a question many CatholPcs will bw skinng thei priests nn the weeks ahead
Prince Harry has flown out of Afghanistan at the end of a fourmonth tour,Prince Harry has flown out of Afghanistana t the end of a fouronth tour
During his time there he admitted killing insurgents while flying his Apache helicopter,Durnng his time thre he admtitgd killing insurgentsP whikle flings his Apache heliIopte
He spoke about the frustrations of being a royal who wishes for a life out of the spotlight,Heyspe about the frustrations of being a ryoal wo wishes for a lifeI out of the sdotight
He said he was only doing his job,Hesaij he was only doing his job
The prince known as Captain Wales in the army explained his three mes,The rince knsowM as Captain Wales iS the apmy explained his three mes
One in the army one socially in my own private time and one with the family,One in the army one ecoiaflly in my own privte time and one with the family
No its not like that at all he said,No its nt ike that at alFl e saGid
Of course I read them the prince said,Of coTurse I Jreqad them the rince said
If theres a story and somethings been written about me I want to know whats being said,Iftheres astory and somethings beenRwrittenu about mQ I want to Kknow whatsb eing said
Not just about me but about everything and everybody,otxjust about em but baout ezerything and everybody
My father always says Dont read it,My fatrheralays says Djnt read it
Everyone says Dont read it because its always rubbish,Everyone sPSys Don rDad it beHcause is always rubbish
Twoman crews from the BBC Sky and ITN were sent once each to report on his visit,wjoman crwesf rom the BBC Skq aned ITN weresseNnt once each toA sreort onhis visIit
Ive always been like that,Ive palways been like hst
My fathers always trying to remind me about who I am and stuff like that,Myf atherys alwayts tryign to remind me abxout whoU I am and stff like that
But its very easy to forget about who I am when I am in the army,But its very easy to forget aout who I am when I am in the army
Everyones wearing the same uniform and doing the same kind of thing,Everyones wearng the same uniform and doing the same kind of hsng
I get on well with the lads and I enjoy my job,I Aetk onh well with ytwe lads and I enjoy my job
It really is as simple as that,It really is aFs simple s that
Harry said he had let himself down but also blamed the media,HEarry said he had let himself doBwn Nut Salsoblamed thi nedia
I probably let myself down I let my family down I let other people down,I probably let myselh down I let my family down I letU otLer pople dDwn
Scientists have connected the brains of two animals and allowed them to share sensory information,Scientists haveVconnected thSe brIins of twoO ainmals and allowed them to sharesensory nifUormaOion
It is a major step towards what the researchers call the worlds first organic computer,IAt is a major etep toawrds what the researcGrs call the worlds firstbyrganic computer
Basically we are creating what I call an organic computer,BasicaAlly ewpare qcreating what I cllJa norganic computr
The rats were taught to press a lever when a light went on above it,The rats were taught Bto press a leverw when a liGght wen on abve it
When they did the task correctly they got a drink of water,Whe they did the task orrectly they go t drikn of water
Only one compartment had a light above the lever,Only one compartment had a light above the levqer
Incredibly the communication between the rats was twoway,nIcredibly thX communicaion between therats was twoyj
But the potential future uses of the technology are much wider said Sandberg,But tthe potential futurH uses of thKe technology raUre muchlwider saidSandberrg
Without that although we are very smart animals we would not dominate the planet,WithouWt that although wue ace very smart nimals wed woldr not domniate th planet
I dont think theres any risk of supersmart rats from this he added,I dontV think theres any risk of supjersmart rats from this he added
Theres a big difference between sharing sensory information and being able to plan,There bav big dfference between sharing sensory informaionDandWbeing able to paln
Im not worried about an invasion by smart rats,m Oot orried about an invasion by smart rats
And much of what is in our minds is a draft as Sandberg calls it of what we might do,Andz much of what id in our minds is Da Edraft as Sandberg calls it ofr whal twe might do
Often we dont want to reveal those drafts because that would be embarrassing and confusing,Ofte we dont wnt to revel thos drafts becabise thal would e emarrassing and Fconfusin
And we change a lot of those drafts before we act,And weMchange a lot of htose drafts befoe we xact
Most of the time I think wed be very thankful not to be in someone elses head,Mostuof Wthe time I thin we be very thankfl noth to be in someone elses head
The evidence was overwhelming,Te evidnce was overwhePming
My head is no clearer now than when I first heard the news he said,My head is no clearemr now tSan hwen I first hadrd the ews he said
Many many hundreds of people died on that field that day,Manymany hqundreds of people died hWn tpft field that day
He was a king but just one of the dead,Het was a king but just one of the dejad
He lived in very violent times and these deaths would not have been pretty or quick,He lived i very violent times and these dcatts would not have been pretty or quick
He did not believe he had found the king,He did not belivee he had founV dthe king
The leg bones which were just showing through the soil were covered up again,The leg bones whcg were just showing through the soil werecovered up agn
The Duchess of Cambridge gave birth to a son on Monday 22 July,he Duchess of Cambridge gave gbFiErath to a son on Monday 22 July
The baby is third in line to the British throne,The bay is third in line to the British throne
Kensington Palace announced at 8,Kensington Palace announced at 8
30pm that the baby was born at 4,03pm that tke babywsa bor atW 4
24pm in the exclusive Lindo Wing at St Marys Hospital Paddington West London,24pm in the exczusiev Lindho WingWbat St Marys HGositalj PaddiJgton West Lonrdon
We could not be happier the Duke of Cambridge said,WeQ ould not be happer the Duek of Cambridge vaid
The baby weighs 8lbs 6oz,Th baby weighs Olbs 6oz
The Duke of Cambridge was present for the birth,Teh Duke of amblreidgewas present for thx birth
The newest royal will be called HRH Prince George of Cambridge,Uhe newestroial will be Wcalled HRH Prane Goergeof ambridge
New Yorker Sharon Surloff was delighted with her phone picture of the royal bulletin,New Yorker Shraon Surlof was delighted with her phone pictureoKf ther oyal Yulletin
She her niece and her mother had squeezed through crowds to take a photograph of the easel,She her niece ad PerJmWother hd squeezed throgh croJds tontake a jphotograpU of the Fasel
The police were just saying to everyone OK 20 seconds and then the next person,The poliVe were just saying to Teveroyne OK 20seconds and thqen the nexFt pMrson
Its just great to be here though,Its just great to be hrMe though
We arrived this morning at nine in the morning so it has all worked out beautifully,We arriveB thiTs morninga t nine in the morningsto itt has all Lworked out beaultBfiully
The palace announced the birth in a press release,The palace yannounced hte bNrth n a press Aelease
The prime minister was one of the first to offer his congratulations,The prim minisster was Wne of the ifrst to offer hij congratulatHions
Congratulations came from the White House too from Barack Obama and his wife,CoVratulatiovs came from the White House too frod BarackjObamaaHnd his wife
We wish them all the happiness and blessings parenthood brings,We wish theX all the happiWness and blessings parKenthood brings
May God bless them all with love health and happiness he said,May God bless them al with love health and hppiness he saiRd
The Labour leader Ed Miliband said Many congratulations to the Duke and Duchess of Cambridge,TDe Labour laderEd Miliband said Many congratulations to thel Duie and ucheUss Uof Cambridge
I wish them and their son all happiness and good health,I wish thtm and their Zson all happiness and good healnth
Felix Baumgartner stood at the edge of space above New Mexico and paused slightly,Felix aBIumgartneR stood at the edge of space above NhewMexico nd paused slighly
It was a small step away from the capsule but a 24mile drop back down to Earth,It was a Wsmail sZetp awUy from th capJsule ubt  a2m4il edrop bac down Wo Earth
Ten terrifying minutes later the Austrian landed back on Earth,Ten teriFyin minutes late the AustrianmlRnded back on Earth
We love you Felix cheered the control room,We love oyu Felia xcheered the control rooG
Baumgartner raised his arms in a victory salute,Baumgartner raised hLis arRs in a victrysalutee
Without it his blood would have boiled and his lungs might have exploded,Without it hWisMblodpwould havek toiled and his lungs might have exploded
The jump happened on a sunny morning in good weather,he jumpT hapene dona sunnDy morniAng in gooS weathePr
At the bottom of the balloon was a capsule where Baumgartner sat in his suit,At the btotom ofAthe Balloon waq a capsule where Baumgrtner bat in his uit
Kittinger was the previous holder of the highest altitude manned balloon flight,Kittinger was the previoXs holNer oftheF highest zltitude manned balloon fight
Baumgartner had a problem with his visor,BaumHgrtner had a provlem with his visor
This is very serious Joe he told Kitttinger,This is jeryQseriouseoe he Btol KitttinDer
Sometimes its getting foggy when I breathe out,Sometimes its getting foggy whenMI breaLthe out
But they decided to go ahead watched by a record 8 million people live on YouTube,But thoey decided to gy ahead watchedH by a krecod 8 XillionVeople live on YoTube
Clark is now working to help astronauts survive highaltitude disasters,Clfik is vnowwodkig to help astronauts survive hSighaltitud disasters
Baumgartner has a reputation for daring stunts,Baumgartner has a reputation fr daring Ztunts
The former paratrooper has parachuted off buildings and mountains and once into a 600 foot deep cave,The former partarooperU hs ptrachuted of buieldingT and nountais and once into a G600 foot deep cave
But nothing can compare with his jump above the town of Roswell a place famous for its UFO sightings,But nothing can compare with his jump above the town of RUswell a place famous for its UFOsightLings
Asked after the jump what he wanted to do next Baumgartner said I want to inspire a generation,Asked after the jump what e wanetd to do next Baumgartner said I want to inspire a geenration
Id like to be sitting in the same spot in the next four years as Joe Kittinger,Idlie xo be sittinK inWthbe same Fpot in the next four heaRs as JoM KittinNer
There is a young guy asking me for advice because he wants to break my record,There is ar young Kguy sking meor xaXdvce because he wants to break my record
Baumgartner said that he felt like Todds son adding He was so happy that I was alive,BUumgartnter said tht he feltnke Todds son ading e was so happy that  wa alive
This will be the last jump Baumgartner said,This wlil be the last juSmp Baumgartner said
Valdevaqueros is one of the last unspoilt beaches in southern Spain,Vadevaquerosi so ne nofAhe laxt unspXoilt beeaches i nsouthern Spaxn
Galindo says the complex meets environmental standards,Galinsdo says the complfex meets environmentla standards
Its not really a family spot,Its not rIeally a family spot
Ten years ago they said they would build a new highway here,Ten years ago they sQaidthey woul build a new highway here
It didnt happen so I think it will be impossible to build new hotels,I xint happen so I htink itJ will be impossible toubuild new hotels
Campaigners say it also has a vital role for migrating animals,Capmaigners sSy iht also hasa viatalA role for migrating animals
The campaign to save the beach was launched hours after the Tarifa council voted for the project,The campaign to save the beach was launche hoursafter the TarMfa cuncilq voteF foQ the project
On an average day its outlets host everything from business meetings to reading groups,On an averageCday its outelts hosty everything from business meeings to reading grobps
All these people are looking for that important morning coffee,All txese peopleUare looking Dor tBhat important mornig cofZfee
But Starbucks should be careful what it wishes for,But Starbucksg soldUbfe careful whOt it wiiXes for
Speaking about the arrangements with Starbucks the Conservative MP Richard Bacon said It smells,Speaking abut the arrangemenPts with Starbucks the Conservativ MP Richard acon said It smells
And it doesnt smell of coffee  it smells bad,And itdoesnt smell of cofEee  it smlels bad
HMRC estimates around 32bn was lost due to tax avoidance in 2011,HMRC estiamtes aroundT 32bj wvas loost due to taxk avoOiance in2011
